SystematicID	Gene_name	Synonyms	Names
SPNCRNA.1171	ubc11-antisense-1		ubc11-antisense-1
SPCC1259.15c	ubc11	ubcdp,ubcp4	ubc11
SPBC2D10.20	ubc1		ubc1
SPAC323.06c	uba5		uba5
SPAC2G11.10c	uba42		uba42
SPAC24H6.12c	uba3		uba3
SPBC16H5.03c	uba2	fub2	uba2
SPAC17G6.14c	uap56		uap56
SPBC1289.02c	uap2		uap2
SPBC1289.08	uap1	qri1	uap1
SPAP8A3.06	uaf2	ods2	uaf2
SPAC25B8.15c	tyw3		tyw3
SPCC1020.08	tyw1		tyw1
SPCC1494.04c	tyr1		tyr1
SPBC577.08c	txl1	trx3	txl1
SPBP35G2.02	txc1		txc1
SPCC126.06	twf1		twf1
SPBC2A9.05c	tvp23		tvp23
SPAC6F12.04	tvp15		tvp15
SPAC630.14c	tup12		tup12
SPNCRNA.635	tup11-antisense-1		tup11-antisense-1
SPAC18B11.10	tup11		tup11
SPCC4B3.01	tum1	SPCP25A2.01c	tum1
SPBC9B6.04c	tuf1		tuf1
SPBC1539.04	tts1		tts1
SPBC1604.17c	tti2		tti2
SPNCRNA.1195	tti1-antisense-1		tti1-antisense-1
SPCC622.13c	tti1		tti1
SPAC1F3.04c	tsr3		tsr3
SPBC409.15	tsr2		tsr2
SPAC23H4.15	tsr1		tsr1
SPNCRNA.983	tsn1-antisense-1		tsn1-antisense-1
SPAC30.03c	tsn1	tsn,mug90	tsn1
SPBC800.07c	tsf1		tsf1
SPAC630.13c	tsc2		tsc2
SPBC646.07c	tsc13		tsc13
SPAC22F3.13	tsc1		tsc1
SPBC3D6.03c	trz2	sptrz2,3'-tRNase	trz2
SPAC1D4.10	trz1	sptrz1	trz1
SPBC12D12.07c	trx2		trx2
SPAC7D4.07c	trx1		trx1
SPBC29A3.14c	trt1		trt1
SPBC1734.07c	trs8502		trs8502
SPBC1604.19c	trs8501		trs8501
SPBC14F5.02	trs65		trs65
SPAC13G6.09	trs402	tsr4	trs402
SPBC25H2.15	trs401	tsr4	trs401
SPAC13G6.05c	trs33		trs33
SPBC1718.05	trs31		trs31
SPNCRNA.1603	trs3-antisense-1		trs3-antisense-1
SPBC3B9.12	trs23		trs23
SPBC11G11.04	trs20		trs20
SPCC285.14	trs130		trs130
SPAC6G10.05c	trs120		trs120
SPBC25H2.02	trs1	ths1	trs1
SPNCRNA.1678	trr1-antisense-1		trr1-antisense-1
SPBC3F6.03	trr1	caf4,trxR	trr1
SPCC663.14c	trp663		trp663
SPBC16G5.08	trp4		trp4
SPCC1442.09	trp3		trp3
SPAC19A8.15	trp2		trp2
SPCC1322.03	trp1322		trp1322
SPBC1539.09c	trp1		trp1
SPAC13D6.03c	trm9		trm9
SPCC18.13	trm82		trm82
SPCPB16A4.04c	trm8		trm8
SPCC1494.07	trm72		trm72
SPAC4F10.03c	trm7		trm7
SPNCRNA.952	trm5-antisense-1		trm5-antisense-1
SPAPB18E9.01	trm5		trm5
SPCC663.10	trm44		trm44
SPAC23C4.17	trm402	trm4,trm4b	trm402
